Model,FeatureSelection,Scaler,Number of features,Rmse,R2 Score(train),R2 Score(test),Params
AdaBoostRegressor,SFS,MinMaxScaler(),7,276891.40316082624,0.5241154694564965,0.4928527813588966,"{'base_estimator': None, 'learning_rate': 1.0, 'loss': 'linear', 'n_estimators': 50, 'random_state': 42}"
AdaBoostRegressor,SFS,RobustScaler(),7,276913.87534179643,0.5241154694564965,0.4927704590735726,"{'base_estimator': None, 'learning_rate': 1.0, 'loss': 'linear', 'n_estimators': 50, 'random_state': 42}"
AdaBoostRegressor,VarianceThreshold,-,13,277601.9545087333,0.5240494374820966,0.4902465862854902,"{'base_estimator': None, 'learning_rate': 1.0, 'loss': 'linear', 'n_estimators': 50, 'random_state': 42}"
AdaBoostRegressor,VarianceThreshold,StandardScaler(),13,277601.9545087333,0.5240494374820966,0.4902465862854902,"{'base_estimator': None, 'learning_rate': 1.0, 'loss': 'linear', 'n_estimators': 50, 'random_state': 42}"
AdaBoostRegressor,SFS,-,12,278348.96393776685,0.5169058469611394,0.4874994662300296,"{'base_estimator': None, 'learning_rate': 1.0, 'loss': 'linear', 'n_estimators': 50, 'random_state': 42}"
AdaBoostRegressor,SFS,StandardScaler(),12,282472.12174969923,0.4971086368436643,0.4722037648880142,"{'base_estimator': None, 'learning_rate': 1.0, 'loss': 'linear', 'n_estimators': 50, 'random_state': 42}"
AdaBoostRegressor,SFS,RobustScaler(),12,282472.12174969923,0.4971086368436643,0.4722037648880142,"{'base_estimator': None, 'learning_rate': 1.0, 'loss': 'linear', 'n_estimators': 50, 'random_state': 42}"
AdaBoostRegressor,SelectKBest,-,7,282773.2346387462,0.5081025395051417,0.4710779125014818,"{'base_estimator': None, 'learning_rate': 1.0, 'loss': 'linear', 'n_estimators': 50, 'random_state': 42}"
AdaBoostRegressor,SelectKBest,StandardScaler(),7,282773.2346387462,0.5081025395051417,0.4710779125014818,"{'base_estimator': None, 'learning_rate': 1.0, 'loss': 'linear', 'n_estimators': 50, 'random_state': 42}"
AdaBoostRegressor,SFS,MinMaxScaler(),12,285546.8880788921,0.4778480707646533,0.46065088945046,"{'base_estimator': None, 'learning_rate': 1.0, 'loss': 'linear', 'n_estimators': 50, 'random_state': 42}"
AdaBoostRegressor,SFS,-,7,289699.4246442535,0.4684302719543993,0.4448499680518414,"{'base_estimator': None, 'learning_rate': 1.0, 'loss': 'linear', 'n_estimators': 50, 'random_state': 42}"
