Model,FeatureSelection,Scaler,Number of features,Rmse,R2 Score(train),R2 Score(test),Params
LinearRegression,-,-,22,211995.46950444157,0.7008607524020419,0.7027182400021386,"{'copy_X': True, 'fit_intercept': True, 'n_jobs': None, 'normalize': 'deprecated', 'positive': False}"
LinearRegression,SFS,-,19,212084.9728145468,0.7007680617048477,0.7024671655954271,"{'copy_X': True, 'fit_intercept': True, 'n_jobs': None, 'normalize': 'deprecated', 'positive': False}"
LinearRegression,SFS,RobustScaler(),19,212084.9728145483,0.7007680617048476,0.7024671655954231,"{'copy_X': True, 'fit_intercept': True, 'n_jobs': None, 'normalize': 'deprecated', 'positive': False}"
LinearRegression,SFS,MinMaxScaler(),19,212084.9728145483,0.7007680617048476,0.7024671655954231,"{'copy_X': True, 'fit_intercept': True, 'n_jobs': None, 'normalize': 'deprecated', 'positive': False}"
LinearRegression,SFS,StandardScaler(),19,212084.97281454827,0.7007680617048476,0.7024671655954231,"{'copy_X': True, 'fit_intercept': True, 'n_jobs': None, 'normalize': 'deprecated', 'positive': False}"
LinearRegression,SFS,-,16,212147.39373062016,0.7005257720836681,0.7022919999065298,"{'copy_X': True, 'fit_intercept': True, 'n_jobs': None, 'normalize': 'deprecated', 'positive': False}"
LinearRegression,SFS,RobustScaler(),16,212147.39373062103,0.7005257720836683,0.7022919999065275,"{'copy_X': True, 'fit_intercept': True, 'n_jobs': None, 'normalize': 'deprecated', 'positive': False}"
LinearRegression,SFS,StandardScaler(),16,212147.393730621,0.7005257720836683,0.7022919999065275,"{'copy_X': True, 'fit_intercept': True, 'n_jobs': None, 'normalize': 'deprecated', 'positive': False}"
LinearRegression,SFS,MinMaxScaler(),16,212147.393730621,0.7005257720836682,0.7022919999065275,"{'copy_X': True, 'fit_intercept': True, 'n_jobs': None, 'normalize': 'deprecated', 'positive': False}"
LinearRegression,SelectKBest,StandardScaler(),19,212217.61115117947,0.7004051347027477,0.7020948940456231,"{'copy_X': True, 'fit_intercept': True, 'n_jobs': None, 'normalize': 'deprecated', 'positive': False}"
