Model,FeatureSelection,Scaler,Number of features,Rmse,R2 Score(train),R2 Score(test),Params
RandomForestRegressor,SFS,RobustScaler(),12,139214.93234339802,0.983400066179888,0.8718003778621143,
RandomForestRegressor,SFS,MinMaxScaler(),12,139281.05305447493,0.9833498882342268,0.8716785710552876,
RandomForestRegressor,SFS,StandardScaler(),12,139295.16741109025,0.9833511642442936,0.8716525622602721,
RandomForestRegressor,SFS,-,12,139296.3741550799,0.9833483292041276,0.8716503384477329,
RandomForestRegressor,SFS,RobustScaler(),16,140444.1584186957,0.9833188041429296,0.8695264545744141,
RandomForestRegressor,SFS,MinMaxScaler(),16,140462.32633952884,0.9832707757861864,0.8694926961555386,
RandomForestRegressor,SFS,StandardScaler(),16,140533.33386798925,0.98326054812302,0.869360712816031,
RandomForestRegressor,SFS,-,16,140546.81052206704,0.983259463101262,0.8693356559152854,
RandomForestRegressor,SFS,RobustScaler(),7,141628.64244515958,0.982323795273276,0.8673163871510964,
RandomForestRegressor,SFS,MinMaxScaler(),7,141645.76959124373,0.9823226052122874,0.8672842943627005,
RandomForestRegressor,SFS,-,7,141709.9001157321,0.9823172727485464,0.867164092332614,
RandomForestRegressor,SFS,StandardScaler(),7,141762.44091408444,0.9823153464415644,0.8670655727730459,
RandomForestRegressor,SelectKBest,StandardScaler(),19,145018.61168631332,0.9826392584254516,0.8608886420304335,
RandomForestRegressor,SelectKBest,MinMaxScaler(),19,145115.53469272,0.9825209629796742,0.86070263008912,
RandomForestRegressor,SelectKBest,-,19,145469.10327285065,0.9824691124021658,0.8600230174932415,
RandomForestRegressor,SFS,RobustScaler(),19,145569.86262621963,0.9830053425818456,0.8598290398787571,
RandomForestRegressor,SFS,-,19,145688.18118543015,0.9830086622018368,0.8596010865677755,
RandomForestRegressor,SFS,StandardScaler(),19,145696.203994198,0.983024154684845,0.8595856230670462,
RandomForestRegressor,SFS,MinMaxScaler(),19,145705.68606478415,0.9830052036969366,0.8595673458254709,
RandomForestRegressor,-,-,22,145833.81124219758,0.9825498340326044,0.8593202604823791,
RandomForestRegressor,SelectKBest,RobustScaler(),19,146519.84942819912,0.9826834885222504,0.8579935629239849,
RandomForestRegressor,SelectKBest,StandardScaler(),16,163758.3101885285,0.9797924101955452,0.8226129953782875,
RandomForestRegressor,SelectKBest,MinMaxScaler(),16,164423.93439330065,0.9797532207497668,0.8211680238459065,
RandomForestRegressor,SelectKBest,RobustScaler(),16,164931.3317685952,0.9797239443073092,0.8200626022826564,
RandomForestRegressor,SelectKBest,-,16,165014.44948895017,0.9797420346368382,0.8198811964247734,
