Model,FeatureSelection,Scaler,Number of features,Rmse,R2 Score(train),R2 Score(test),Params
SVR,VarianceThreshold,RobustScaler(),19,747247.7510588609,-3.231115656783836,-2.6935530157172094,"{'C': 1.0, 'cache_size': 200, 'coef0': 0.0, 'degree': 3, 'epsilon': 0.1, 'gamma': 'scale', 'kernel': 'rbf', 'max_iter': 100, 'shrinking': True, 'tol': 0.001, 'verbose': False}"
SVR,VarianceThreshold,RobustScaler(),16,747248.2831553649,-3.231121900602199,-2.693558275893219,"{'C': 1.0, 'cache_size': 200, 'coef0': 0.0, 'degree': 3, 'epsilon': 0.1, 'gamma': 'scale', 'kernel': 'rbf', 'max_iter': 100, 'shrinking': True, 'tol': 0.001, 'verbose': False}"
SVR,VarianceThreshold,RobustScaler(),13,747250.7398021051,-3.231150458512383,-2.6935825617511275,"{'C': 1.0, 'cache_size': 200, 'coef0': 0.0, 'degree': 3, 'epsilon': 0.1, 'gamma': 'scale', 'kernel': 'rbf', 'max_iter': 100, 'shrinking': True, 'tol': 0.001, 'verbose': False}"
SVR,SelectKBest,MinMaxScaler(),16,747251.2542124025,-3.2311570805807266,-2.6935876471059,"{'C': 1.0, 'cache_size': 200, 'coef0': 0.0, 'degree': 3, 'epsilon': 0.1, 'gamma': 'scale', 'kernel': 'rbf', 'max_iter': 100, 'shrinking': True, 'tol': 0.001, 'verbose': False}"
SVR,VarianceThreshold,MinMaxScaler(),16,747251.4518759176,-3.231158743196868,-2.693589601167832,"{'C': 1.0, 'cache_size': 200, 'coef0': 0.0, 'degree': 3, 'epsilon': 0.1, 'gamma': 'scale', 'kernel': 'rbf', 'max_iter': 100, 'shrinking': True, 'tol': 0.001, 'verbose': False}"
SVR,SelectKBest,MinMaxScaler(),19,747252.1231915421,-3.2311667875562256,-2.6935962376635305,"{'C': 1.0, 'cache_size': 200, 'coef0': 0.0, 'degree': 3, 'epsilon': 0.1, 'gamma': 'scale', 'kernel': 'rbf', 'max_iter': 100, 'shrinking': True, 'tol': 0.001, 'verbose': False}"
SVR,VarianceThreshold,MinMaxScaler(),19,747252.3966012773,-3.2311698163378493,-2.693598940540706,"{'C': 1.0, 'cache_size': 200, 'coef0': 0.0, 'degree': 3, 'epsilon': 0.1, 'gamma': 'scale', 'kernel': 'rbf', 'max_iter': 100, 'shrinking': True, 'tol': 0.001, 'verbose': False}"
SVR,SFS,MinMaxScaler(),19,747252.5568649304,-3.231172099366824,-2.693600524877472,"{'C': 1.0, 'cache_size': 200, 'coef0': 0.0, 'degree': 3, 'epsilon': 0.1, 'gamma': 'scale', 'kernel': 'rbf', 'max_iter': 100, 'shrinking': True, 'tol': 0.001, 'verbose': False}"
SVR,VarianceThreshold,MinMaxScaler(),13,747252.9128180861,-3.2311755763024044,-2.693604043765602,"{'C': 1.0, 'cache_size': 200, 'coef0': 0.0, 'degree': 3, 'epsilon': 0.1, 'gamma': 'scale', 'kernel': 'rbf', 'max_iter': 100, 'shrinking': True, 'tol': 0.001, 'verbose': False}"
SVR,SFS,MinMaxScaler(),16,747252.9861873712,-3.231176923664627,-2.693604769081212,"{'C': 1.0, 'cache_size': 200, 'coef0': 0.0, 'degree': 3, 'epsilon': 0.1, 'gamma': 'scale', 'kernel': 'rbf', 'max_iter': 100, 'shrinking': True, 'tol': 0.001, 'verbose': False}"
SVR,SFS,-,19,747254.3882729219,-3.231192678776722,-2.693618629861513,"{'C': 1.0, 'cache_size': 200, 'coef0': 0.0, 'degree': 3, 'epsilon': 0.1, 'gamma': 'scale', 'kernel': 'rbf', 'max_iter': 100, 'shrinking': True, 'tol': 0.001, 'verbose': False}"
